ID,Sports,Interview Text,Speaker,Type,Labels,text_length,cleaned_text,tokens
1,Tennis," I don't know, I can't really think of anything.  I just been playing a little golf and producing a baby and that is all, really.  Just stay home.",MATS WILANDER,Individual,7,146,know really think anything playing little golf producing baby really stay home,"['know', 'really', 'think', 'anything', 'playing', 'little', 'golf', 'producing', 'baby', 'really', 'stay', 'home']"
2,Tennis," No, and don't tell me what is going on. I don't and don't tell me what is going on.  Please.",JIM COURIER,Individual,7,93,tell what going tell what going please,"['tell', 'what', 'going', 'tell', 'what', 'going', 'please']"
3,Golf,"  Yeah, I think I'm always pretty good no matter if we have fans or not.  I always talk about staying in my bubble, and that term has really got a different meaning this year.",PERNILLA LINDBERG,Individual,2,175,yeah think always pretty good matter fan always talk staying bubble term really got different meaning year,"['yeah', 'think', 'always', 'pretty', 'good', 'matter', 'fan', 'always', 'talk', 'staying', 'bubble', 'term', 'really', 'got', 'different', 'meaning', 'year']"
4,Baseball,"I was going to say, Marcus over here was in the finals of the MVP of the American League, and here you are sitting here first Team. Does this validate the season you put together?",HAROLD REYNOLDS,Team,4,179,going say marcus final mvp american league sitting first team validate season put together,"['going', 'say', 'marcus', 'final', 'mvp', 'american', 'league', 'sitting', 'first', 'team', 'validate', 'season', 'put', 'together']"
5,Golf," Obviously today was more of a grind than last Thursday.  But still, still saw some good scores, obviously not as many as we saw last week.",DAVID TOMS,Individual,2,139,obviously today grind last thursday still still saw good score obviously many saw last week,"['obviously', 'today', 'grind', 'last', 'thursday', 'still', 'still', 'saw', 'good', 'score', 'obviously', 'many', 'saw', 'last', 'week']"
6,Tennis,"Yeah, I think she was tired in the third set and she -- when she start -- when I start to play, you know, longer points she was really tired.",LEILA MESKHI,Individual,2,141,yeah think tired third set when start when start play know longer point really tired,"['yeah', 'think', 'tired', 'third', 'set', 'when', 'start', 'when', 'start', 'play', 'know', 'longer', 'point', 'really', 'tired']"
7,Baseball,"Yeah, Zack's preparation is probably the best in the game. There's a couple of guys here, too, as well, with Max and Stras and An??̻bal, those guys as well.",PATRICK CORBIN,Team,2,157,yeah zacks preparation probably best game couple guy well max stras anbal guy well,"['yeah', 'zacks', 'preparation', 'probably', 'best', 'game', 'couple', 'guy', 'well', 'max', 'stras', 'anbal', 'guy', 'well']"
8,Golf," I managed to hit some of my shots close, and the ones that I didn't I managed to save par.",MATILDA CASTREN,Individual,2,91,managed hit shot close one managed save par,"['managed', 'hit', 'shot', 'close', 'one', 'managed', 'save', 'par']"
9,Basketball,"  Yeah, he's just battling through the heel.  He was struggling to move a little bit but toughed it out, and we'll see how he feels tomorrow.",FRANK VOGEL,Team,3,141,yeah battling heel struggling move little bit toughed see how feel tomorrow,"['yeah', 'battling', 'heel', 'struggling', 'move', 'little', 'bit', 'toughed', 'see', 'how', 'feel', 'tomorrow']"
10,Tennis, It is like during the Wimbledon -- before the main game she was practicing and she injured at the Wimbledon.,KIMIKO DATE,Individual,3,109,like wimbledon main game practicing injured wimbledon,"['like', 'wimbledon', 'main', 'game', 'practicing', 'injured', 'wimbledon']"
